text,value,n
the first years of the 1980s,198X INTERSECT PXY,8
the,184X,8
The first half of the 1970s,197X,8
the middle of the 1850s,185X,8
the early 1040s,104X,8
later 1960s,196X,8
the last years of the 1980s,PREV_IMMEDIATE P1Y INTERSECT 198X,8
the mid-1300s,130X,8
the 1960s may,196X-05,8
the decade of the 1900s,THIS P10Y INTERSECT 190X,8
the 1950s may,195X-05,8
1090s,109X,8
1950s before,195X,8
several years in the 1930s,193X INTERSECT PXY,8
years in the early 2000s,200X INTERSECT P1Y,8
the early years of the 1900s,190X INTERSECT PXY,8
The 5700s,570X,8
days of the 1960s,196X INTERSECT P1D,8
the early 1180s,118X,8
the mid-1380s,138X,8
the decade of the 1840s,THIS P10Y INTERSECT 184X,8
The 1690s,169X,8
years in the mid-1990s,199X INTERSECT P1Y,7
about the 1890s,189X,7
the middle of the 1700s,170X,7
a year in the 1940s,194X INTERSECT P1Y,7
Beginning in the 1790s,179X,7
the beginning of 1970s,197X,7
the Early 1990s,199X,7
four years in the 1980s,198X INTERSECT P4Y,7
the late 1640s,164X,7
Beginning in the 1740s,174X,7
end of the 1920s,192X,7
several years in the 2000s,200X INTERSECT PXY,7
The 1200s,120X,7
the 1000S,100X,7
about the 1880s,188X,7
Beginning in 1960s,196X,7
the mid 1750s,175X,7
five years in the 1970s,197X INTERSECT P5Y,7
mid-1830s,183X,7
the early 1930s before,193X,7
about 1920s,192X,7
the end of the 1770s,177X,7
the Late 2000s,200X,7
mid 1980s,198X,7
start in the 1930s,193X,7
5000s,500X,7
the early nineteen eighties,198X,7
beginning in the 1790s,179X,7
the mid 1500s,150X,7
Beginning in the 1770s,177X,7
The late 1870s,187X,7
earlier 1970s,197X,7
the 1930s may,193X-05,7
the late 1740s,174X,7
7700s,770X,7
the late 1570s,157X,7
year in the 1950s,195X INTERSECT P1Y,7
the Early 2000s,200X,7
The decade of the 2000s,THIS P10Y INTERSECT 200X,7
The late 1850s,185X,7
the middle 1920s,192X,7
The early 1870s,187X,7
"the 1950s, 1960",195X,7
the beginning of the 1780s,178X,7
The 1630s,163X,7
the 1820s before,182X,7
the beginning of 1960s,196X,7
"the 1960s, 1970",196X,7
the 1910s before,191X,7
the late 1540s,154X,7
early in the 1860s,186X,7
The 1500s,150X,7
the decades of the 1960s,196X INTERSECT PXY,7
two years in the 1960s,196X INTERSECT P2Y,7
late 1890s,189X,7
the start of the 1940s,194X,7
Beginning in the 2010s,201X,7
Beginning in the 1620s,162X,7
early in the 1800s,180X,7
a year in the 1960s,196X INTERSECT P1Y,7
The 1560s,156X,7
the middle 1970s,197X,6
a decade in the 1990s,199X INTERSECT P10Y,6
days of the 1940s,194X INTERSECT P1D,6
early in the 1890s,189X,6
The 1700s,170X,6
the end of the 1620s,162X,6
the start of the 1880s,188X,6
the middle 1930s,193X,6
Late in the 1920s,192X,6
Beginning in the 1700s,170X,6
the middle of 1980s,198X,6
the 1970s may,197X-05,6
The decade of the 1960s,THIS P10Y INTERSECT 196X,6
9000s,900X,6
the early 1150s,115X,6
the start of the 1870s,187X,6
2040s,204X,6
1120S,112X,6
three years in the 1980s,198X INTERSECT P3Y,6
The mid-1800s,180X,6
the early 1170s,117X,6
the 1980s may,198X-05,6
beginning in the 1730s,173X,6
the second half of the 1500s,150X,6
three years in the 1950s,195X INTERSECT P3Y,6
the mid-1920s before,192X,6
days of the 1920s,192X INTERSECT P1D,6
start in the 1850s,185X,6
the 1900s before,190X,6
Early in the 1880s,188X,6
years in the early 1990s,199X INTERSECT P1Y,6
The 1320s,132X,6
start in the 1920s,192X,6
the second half of the 1840s,184X,6
the first half of the 1850s,185X,6
9700S,970X,6
the mid-2000s before,200X,6
the beginning of the 1820s,182X,6
the start of the 1890s,189X,6
the mid-1230s,123X,6
2300S,230X,6
the mid-1460s,146X,6
the early years of the 1960s,196X INTERSECT PXY,6
mid-1600s,160X,6
start in the 1860s,186X,6
The first half of the 1860s,186X,6
a few years in the 1990s,199X INTERSECT PXY,6
The second half of the 1990s,199X,6
the end of the 1740s,174X,6
this 1950s,THIS 195X,6
The decade of the 1930s,THIS P10Y INTERSECT 193X,6
the 1990s may,199X-05,6
start in the 1830s,183X,6
The 1780s,178X,6
the early 1390s,139X,6
Late 1960s,196X,6
The early 1880s,188X,6
days in the 1970s,197X INTERSECT P1D,6
the mid-1260s,126X,6
The mid 1990s,199X,6
the entire decade of the 1970s,THIS P10Y INTERSECT 197X,6
end in the 1970s,197X,6
the,201X,6
about 1970s,197X,6
early 1700s,170X,6
about the early 1990s,199X,6
the end of the 1730s,173X,6
the late 1680s,168X,6
The 1300s,130X,6
beginning in the 1720s,172X,6
about the 1820s,182X,6
several years in the early 1990s,199X INTERSECT PXY,6
The early 1890s,189X,6
1200S,120X,6
the late nineteen eighties,198X,6
early 1880s,188X,6
earlier 1990s,199X,6
the decades of the 1970s,197X INTERSECT PXY,6
the end of the 1650s,165X,6
the end of 1920s,192X,6
early 1400s,140X,6
The 1740s,174X,6
start in the 1950s,195X,6
Beginning in the mid-1920s,192X,6
the,191X,6
two years in the 1980s,198X INTERSECT P2Y,6
end in the 1930s,193X,6
the late 2030s,203X,6
"the 1970s, Summer",197X-SU,6
The 1100s,110X,6
the early 1210s,121X,6
mid-2020s,202X,6
the first half of the 1870s,187X,6
the mid-1280s,128X,6
the last half of the 1800s,180X,5
in the 1960s,196X,5
the mid-1180s,118X,5
the start of the 1850s,185X,5
about the 1230s,123X,5
about the mid-1990s,199X,5
2090s,209X,5
the end of 1940s,194X,5
the first half of the 1840s,184X,5
the early years of the 1930s,193X INTERSECT PXY,5
The decade of the 1870s,THIS P10Y INTERSECT 187X,5
the last half of the 1970s,197X,5
the latter half of the 1890s,189X,5
the,179X,5
The mid 2000s,200X,5
the late 1710s,171X,5
beginning in the mid-1920s,192X,5
the mid-1070s,107X,5
the first half of the 1860s,186X,5
end in the 1990s,199X,5
early in the 1870s,187X,5
the middle of the 1910s,191X,5
years in the mid-1980s,198X INTERSECT P1Y,5
beginning in the mid-1880s,188X,5
the mid-1330s,133X,5
first half of the 1990s,199X,5
the beginning 1990s,199X,5
1920s before,192X,5
eight years in the 1970s,197X INTERSECT P8Y,5
the 3000S,300X,5
a year in the 1980s,198X INTERSECT P1Y,5
the first half of the 1830s,183X,5
the late 1400s,140X,5
the 1840s before,184X,5
the middle of the 1830s,183X,5
"the 1970s, 1980",197X,5
the 1760s before,176X,5
the early 1810s,181X,5
The beginning of the 1960s,196X,5
the 6000s,600X,5
start in the 1960s,196X,5
"year, the 1930s",193X INTERSECT P1Y,5
beginning in the 1700s,170X,5
beginning in the 1750s,175X,5
East End,196X,5
the middle 1870s,187X,5
the middle of 1990s,199X,5
years of the 1940s,194X INTERSECT P1Y,5
the late 1300s,130X,5
the 1980s beginning,198X,5
the early 1080s,108X,5
start in the 1980s,198X,5
the end of the decade of the 1960s,THIS P10Y INTERSECT 196X,5
the decade of 2000s,THIS P10Y INTERSECT 200X,5
early days in the 1970s,197X INTERSECT P1D,5
The 1810s,181X,5
about the mid-1960s,196X,5
the first decades of the 1800s,180X INTERSECT PXY,5
days in the 1950s,195X INTERSECT P1D,5
Late in the 1890s,189X,5
the middle 1830s,183X,5
2500S,250X,5
several years in the early 1980s,198X INTERSECT PXY,5
several years in the late 2000s,200X INTERSECT PXY,5
beginning of the 1950s,195X,5
the first two decades of the 1900s,190X INTERSECT P20Y,5
mid-1820s,182X,5
later 1820s,182X,5
The 1660s,166X,5
the late nineteen sixties,196X,5
End of the 2000s,200X,5
about the mid-1970s,197X,5
The late 1890s,189X,5
the mid-1200s,120X,5
3500S,350X,5
start in the 1840s,184X,5
the early 1710s,171X,5
early 1790s,179X,5
the latter half of the 1850s,185X,5
about the 1840s,184X,5
The 2930s,293X,5
The late 1880s,188X,5
end of the 1930s,193X,5
a year in the 1920s,192X INTERSECT P1Y,5
early 1910s,191X,5
the mid 1820s,182X,5
the last half of the 1950s,195X,5
the early years of the 1990s,199X INTERSECT PXY,5
the decades of the 1940s,194X INTERSECT PXY,5
the decade of the 1830s,THIS P10Y INTERSECT 183X,5
second half of the 1980s,198X,5
the mid-1320s,132X,5
days of the 1930s,193X INTERSECT P1D,5
the second half of the 1600s,160X,5
"the 1960s, today",THIS P1D INTERSECT 196X,5
the first half of 1990s,199X,5
six years in the 1970s,197X INTERSECT P6Y,5
a year in the early 1980s,198X INTERSECT P1Y,5
the mid-1150s,115X,5
about 1930s,193X,5
the mid-1250s,125X,5
The 1600s,160X,5
the dawn of the 1980s,198X,5
the decades of the 1880s,188X INTERSECT PXY,5
The beginning of the 1970s,197X,5
a decade in the 1960s,196X INTERSECT P10Y,5
the late 1140s,114X,5
end in the mid-1960s,196X,5
The 1540s,154X,5
a year in the 1970s,197X INTERSECT P1Y,5
years of the 1850s,185X INTERSECT P1Y,5
the,163X,4
late 1960s,196X,4
The decade of the 1880s,THIS P10Y INTERSECT 188X,4
year in the early 1990s,199X INTERSECT P1Y,4
this 1970s,THIS 197X,4
the last years of the 1970s,PREV_IMMEDIATE P1Y INTERSECT 197X,4
Beginning in the 1580s,158X,4
six years in the 1960s,196X INTERSECT P6Y,4
the early decades of the 1800s,180X INTERSECT PXY,4
later 1840s,184X,4
the decade of the 1130s,THIS P10Y INTERSECT 113X,4
end in the 1920s,192X,4
beginning in the 1500s,150X,4
the decades of the 1980s,198X INTERSECT PXY,4
The mid-1880s,188X,4
the first half of the 1590s,159X,4
The second half of the 1950s,195X,4
the first years of the 1990s,199X INTERSECT PXY,4
seven years in the 1980s,198X INTERSECT P7Y,4
two years in the 1920s,192X INTERSECT P2Y,4
Beginning in the mid-1880s,188X,4
later 1860s,186X,4
The 1670s,167X,4
the entire decade of the 1990s,THIS P10Y INTERSECT 199X,4
the summer months from the 1890s,189X OFFSET P1M INTERSECT SU,4
the end of the 1430s,143X,4
mid 2010s,201X,4
a few years in the early 2000s,200X INTERSECT PXY,4
the 1830s before,183X,4
The 1360s,136X,4
the end of the 1750s,175X,4
fall in the 1980s,198X-FA,4
years from the 1960s,196X OFFSET P1Y,4
early in the 1700s,170X,4
the early years of the 1800s,180X INTERSECT PXY,4
three years in the early 1990s,199X INTERSECT P3Y,4
The 1370s,137X,4
4400s,440X,4
a few years in the early 1950s,195X INTERSECT PXY,4
"the decades of the 1940s, 1950s",194X INTERSECT PXY INTERSECT 195X,4
The latter half of the 1980s,198X,4
end of the 1940s,194X,4
The 1520s,152X,4
Early 1960s,196X,4
the mid-1140s,114X,4
the last 1990s,PREV_IMMEDIATE 199X,4
Late 1920s,192X,4
The early 1860s,186X,4
the latter half of the 1870s,187X,4
days of the 1980s,198X INTERSECT P1D,4
the middle years of the 1930s,193X INTERSECT PXY,4
about the mid-1840s,184X,4
the end of the 1680s,168X,4
early in the 1880s,188X,4
a year in the 1990s,199X INTERSECT P1Y,4
five years in the 1960s,196X INTERSECT P5Y,4
earlier 1950s,195X,4
the end of the 1040s,104X,4
years of the early 1980s,198X INTERSECT P1Y,4
the decades of the 1930s,193X INTERSECT PXY,4
the late 1460s,146X,4
5700s,570X,4
year in the 2000s,200X INTERSECT P1Y,4
early 1820s,182X,4
the early years of the 1920s,192X INTERSECT PXY,4
several decades from the 1970s,198X,4
this 1960s,THIS 196X,4
the late 1060s,106X,4
Beginning in the 1630s,163X,4
in the 1970s,197X,4
two years in the 1990s,199X INTERSECT P2Y,4
the late 2000s before,200X,4
The 1580s,158X,4
the end of 1930s,193X,4
The mid 1950s,195X,4
the second half of the 1330s,133X,4
Late 1990s,199X,4
a few years in the 1960s,196X INTERSECT PXY,4
the first few decades of the 1900s,190X INTERSECT PXY,4
the late 2300s,230X,4
the Mid 1990s,199X,4
several years in the 1940s,194X INTERSECT PXY,4
a few years in the 1980s,198X INTERSECT PXY,4
the mid-1370s,137X,4
the last years of the 1960s,PREV_IMMEDIATE P1Y INTERSECT 196X,4
1900S,190X,4
the early 1140s,114X,4
the 1980s in 2009,198X,4
the middle of the first decade of the 2000s,200X INTERSECT PXY,4
The 1340s,134X,4
the end of the 1350s,135X,4
the start of the 1860s,186X,4
beginning in the 1760s,176X,4
the mid-1190s,119X,4
several years in the early 1920s,192X INTERSECT PXY,4
the 3800s,380X,4
Mid 1980s,198X,4
The late 1830s,183X,4
the late 1470s,147X,4
the beginning of the 1600s,160X,4
"the 1960s, the second",THIS PT1S INTERSECT 196X,4
The 1000S,100X,4
The decade of the 1950s,THIS P10Y INTERSECT 195X,4
the mid-1160s,116X,4
The 1400s,140X,4
"the 1960s, the decade",THIS P10Y INTERSECT 196X,4
year in the 1930s,193X INTERSECT P1Y,4
The 1720s,172X,4
early days in the 1930s,193X INTERSECT P1D,4
The 1000s,100X,4
the last 1960s,PREV_IMMEDIATE 196X,4
The end of the 1990s,199X,4
the mid-1170s,117X,4
the late 1550s,155X,4
the decade of the 1850s,THIS P10Y INTERSECT 185X,4
the early nineteen thirties,193X,4
"the 1980s, the second",THIS PT1S INTERSECT 198X,4
days in the 1980s,198X INTERSECT P1D,4
early 2030s,203X,4
The 1680s,168X,4
2260s,226X,4
beginning of the 1930s,193X,4
several years in the mid-1960s,196X INTERSECT PXY,4
four years in the 1970s,197X INTERSECT P4Y,4
later 1900s,190X,4
the second half of 1980s,198X,4
end in the mid-1980s,198X,4
Late 1840s,184X,4
years of the 1800s,180X INTERSECT P1Y,4
DEC,199X-12,4
Beginning in the mid-2010s,201X,4
five years in the 1980s,198X INTERSECT P5Y,4
two years in the early 1990s,199X INTERSECT P2Y,4
the beginning of the 1760s,176X,4
The late 1970s,197X,4
about 1990s,199X,4
The 1570s,157X,4
1940s weekend,194X-WE,4
the Mid-1990s,199X,4
decade of the 1950s,195X INTERSECT P10Y,4
the late 1490s,149X,4
six years in the 1980s,198X INTERSECT P6Y,4
the last years of the 1920s,PREV_IMMEDIATE P1Y INTERSECT 192X,4
The mid-1940s,194X,4
the early 1890s before,189X,4
the first years of the 1930s,193X INTERSECT PXY,4
"the 1930s, today",THIS P1D INTERSECT 193X,4
about 1950s,195X,4
the latter half of the 1860s,186X,4
the 1800S,180X,4
The 1620s,162X,4
beginning in the 1780s,178X,4
the mid-1950s before,195X,4
the 2150s,215X,4
the 2100s,210X,4
beginning in the 1600s,160X,4
beginning in the 1800s,180X,4
the beginning of the 1790s,179X,4
years in the 1880s,188X INTERSECT P1Y,4
years from the 1970s,197X OFFSET P1Y,4
end of 1980s,198X,4
early years in the 1980s,198X INTERSECT P1Y,4
beginning in the 1640s,164X,4
The 1240s,124X,4
The second half of the 1920s,192X,4
Beginning in the mid 1990s,199X,4
the,182X,4
the entire decade of the 1980s,THIS P10Y INTERSECT 198X,4
the last half of the 1980s,198X,4
start in the 1890s,189X,4
the early years of the 1910s,191X INTERSECT PXY,4
days of the 1950s,195X INTERSECT P1D,4
this 1930s,THIS 193X,4
Beginning in the mid-1940s,194X,4
the second half of 1970s,197X,4
the 2090s,209X,4
the mid 1990s before,199X,4
early 1850s,185X,4
the mid-1490s,149X,4
several years in the late 1990s,199X INTERSECT PXY,4
in the 1920s,192X-SP,4
Late in the 1870s,187X,4
beginning in the 2010s,201X,4
the first half of the 1700s,170X,3
7000s,700X,3
the beginning of the 1630s,163X,3
the 1800s before,180X,3
Day in the 1970s,197X INTERSECT P1D,3
the final years of the 1990s,199X INTERSECT PXY,3
the late 1870s before,187X,3
beginning in the 1670s,167X,3
early in the 1840s,184X,3
The start of the 1980s,198X,3
years from the late 1990s,199X OFFSET P1Y,3
the end of the 2020s,202X,3
the 1790s before,179X,3
The decade of the 1940s,THIS P10Y INTERSECT 194X,3
"the 1990s, Winter",199X-WI,3
the end of the 1440s,144X,3
the middle of the 1840s,184X,3
"the 1920s, today",THIS P1D INTERSECT 192X,3
a decade in the 1980s,198X INTERSECT P10Y,3
about 1940s,194X,3
six years in the 1950s,195X INTERSECT P6Y,3
the beginning of the decade of the 2000s,THIS P10Y INTERSECT 200X,3
12 years in the 1970s,197X INTERSECT P12Y,3
early 1840s,184X,3
two years in the 1930s,193X INTERSECT P2Y,3
Beginning of the 1990s,199X,3
the mid-1710s,171X,3
mid 1940s,194X,3
the middle of the 1630s,163X,3
The first decade of the 2000s,200X INTERSECT PXY,3
the middle of 1950s,195X,3
year in the mid-1970s,197X INTERSECT P1Y,3
Early in the 1190s,119X,3
about the mid-1980s,198X,3
early in the 1600s,160X,3
years of the 1870s,187X INTERSECT P1Y,3
the end of the 1810s,181X,3
The decades of the 1950s,195X INTERSECT PXY,3
the 3400s,340X,3
earlier 2000s,200X,3
three years in the 1940s,194X INTERSECT P3Y,3
late in the 1910s,191X,3
more than 50 years from the 1880s,193X,3
the mid-1420s,142X,3
early years in the 1930s,193X INTERSECT P1Y,3
the 1970s beginning,197X,3
end in the 1890s,189X,3
fall in the 1970s,197X-FA,3
about the 1660s,166X,3
The 1530s,153X,3
West End,197X,3
Late 1950s,195X,3
Beginning in the mid-1890s,189X,3
the early nineteen nineties,199X,3
about the 1910s,191X,3
the mid-1030s,103X,3
this 1990s,THIS 199X,3
"the 1990s, today",THIS P1D INTERSECT 199X,3
four years in the early 1980s,198X INTERSECT P4Y,3
the latter half of the 1100s,110X,3
1600S,160X,3
six years in the 1990s,199X INTERSECT P6Y,3
mid-1450s,145X,3
late 1910s,191X,3
early 2010s before,201X,3
Early 1880s,188X,3
the last years of the 1930s,PREV_IMMEDIATE P1Y INTERSECT 193X,3
two years in the mid-1960s,196X INTERSECT P2Y,3
the middle 1960s,196X,3
the end 1990s,199X,3
year in the 1940s,194X INTERSECT P1Y,3
the first half of the 1910s,191X,3
a week in the 1950s,195X INTERSECT P1W,3
the 3600s,360X,3
The 1290s,129X,3
the late nineteen thirties,193X,3
the previous 1980s,PREV_IMMEDIATE 198X,3
decade of the 1960s,196X INTERSECT P10Y,3
the late nineteen fifties,195X,3
beginning in the mid-1800s,180X,3
mid-1790s,179X,3
first half of the 1980s,198X,3
late in the 1840s,184X,3
a few years in the 1920s,192X INTERSECT PXY,3
several years in the 1910s,191X INTERSECT PXY,3
End of the 1970s,197X,3
the end of the 1270s,127X,3
1500S,150X,3
the second half of the 1260s,126X,3
the mid-1390s,139X,3
Early in the 1860s,186X,3
mid-1640s,164X,3
Late 1930s,193X,3
the first half of the 1600s,160X,3
later 1750s,175X,3
the beginning 2000s,200X,3
The mid-1870s,187X,3
the start of the 1800s,180X,3
"the early 1980s, the second",THIS PT1S INTERSECT 198X,3
three years in the early 1970s,197X INTERSECT P3Y,3
The mid 1980s,198X,3
the second half of the 1270s,127X,3
eight years in the 1940s,194X INTERSECT P8Y,3
several decades from the 1960s,197X,3
the beginning of the 1660s,166X,3
the last 1970s,PREV_IMMEDIATE 197X,3
the early 1510s,151X,3
years from the 1950s,195X OFFSET P1Y,3
the mid 1300s,130X,3
early 1560s,156X,3
The 1440s,144X,3
the middle of the 1600s,160X,3
the decades of the 1990s,199X INTERSECT PXY,3
seven years in the 1970s,197X INTERSECT P7Y,3
Late in the 2000s,200X,3
fall in the early 1990s,199X-FA,3
the dawn of the 1960s,196X,3
the late nineteen seventies,197X,3
the second half of the 1790s,179X,3
the early 1860s before,186X,3
two years in the 1970s,197X INTERSECT P2Y,3
nineteen thirties,193X,3
The 1380s,138X,3
start of the 1990s before,199X,3
the late 1170s,117X,3
in the 1890s,189X-SP,3
in the 1930s,193X,3
ten years in the 1980s,198X INTERSECT P10Y,3
the mid-1610s,161X,3
the early 2000s Christmas,200X-12-25,3
2130s,213X,3
first decade of the 2000s,200X INTERSECT P10Y-#1,3
the last half of the 1960s,196X,3
the 1880s may,188X-05,3
days in the 1920s,192X INTERSECT P1D,3
the summer of 1930s,193X-SU,3
years in the 2000s,200X INTERSECT P1Y,3
beginning in the mid-2010s,201X,3
in the early 1980s,198X-SP,3
the,177X,3
year in the 1920s,192X INTERSECT P1Y,3
eight years in the 1960s,196X INTERSECT P8Y,3
the end of the 1540s,154X,3
the early years of the 1880s,188X INTERSECT PXY,3
the late 1240s,124X,3
the mid 1950s before,195X,3
the 2370s,237X,3
the early the 1970s,197X,3
The 1460s,146X,3
late the 1920s,192X,3
the beginning of the 1500s,150X,3
The 1310s,131X,3
The early 1830s,183X,3
the beginning of the 1730s,173X,3
the end of the 1640s,164X,3
The early 1910s,191X,3
the early in 1980s,198X,3
Early in the 1820s,182X,3
"the decades of the 1970s, 1980s",197X INTERSECT PXY INTERSECT 198X,3
a decade in the 1970s,197X INTERSECT P10Y,3
the decades of 1960s,196X INTERSECT PXY,3
the first decade of 2000s,200X INTERSECT PXY,3
the inter-war years of the 1920s,192X INTERSECT PXY,3
2060s,206X,3
The late 2010s,201X,3
the turbulent years of the 1960s,196X INTERSECT PXY,3
the 9370s,937X,3
The mid-1900s,190X,3
end in the 1950s,195X,3
the second half of the 1770s,177X,3
the end of 2000s,200X,3
the first years of the 1150s,115X INTERSECT PXY,3
the second half of 1930s,193X,3
the mid-1060s,106X,3
mid-1500s,150X,3
the last half of the 1900s,190X,3
The end of the 1920s,192X,3
the end of the 1570s,157X,3
early days in the 1940s,194X INTERSECT P1D,3
Beginning in the mid-1800s,180X,3
year in the mid-1990s,199X INTERSECT P1Y,3
the middle of the 1770s,177X,3
"the 1930s, the second",THIS PT1S INTERSECT 193X,3
years of the early 1900s,190X INTERSECT P1Y,3
several years in the mid-1970s,197X INTERSECT PXY,3
the first years of the 1900s,190X INTERSECT PXY,3
mid-1650s,165X,3
The 1550s,155X,3
later 1890s,189X,3
Beginning in the 1780s,178X,3
the late 1190s,119X,3
years in the early 1920s,192X INTERSECT P1Y,3
late in the 1850s,185X,3
Mid 1990s,199X,3
years later in the 1970s,OFFSET P1Y INTERSECT 197X,3
a year from the early 1970s,197X OFFSET P1Y,3
several years in the mid-2000s,200X INTERSECT PXY,3
end in the 1840s,184X,3
the decade of 1990s,THIS P10Y INTERSECT 199X,3
Beginning in the 1650s,165X,3
the final years of the 1960s,196X INTERSECT PXY,3
Mays,197X-05,3
about the 1630s,163X,3
"the 1950s, today",THIS P1D INTERSECT 195X,3
the lean years of the 1930s,193X INTERSECT PXY,3
about the mid-1950s,195X,3
the years from the 1950s,195X OFFSET P1Y,3
the decades of the 2000s,200X INTERSECT PXY,3
the early 1250s,125X,3
the latter half of the 1700s,170X,3
beginning in the 1680s,168X,3
The decade of the 1890s,THIS P10Y INTERSECT 189X,3
the 3100s,310X,3
the mid 1600s,160X,3
days of the early 1980s,198X INTERSECT P1D,3
the early 1020s,102X,3
the end of the 1420s,142X,3
"the 1940s, 1950",194X,3
the second half of the 1830s,183X,3
a year in the mid-1960s,196X INTERSECT P1Y,3
the mid-2060s,206X,3
second half of the 2000s,200X,3
DEC,198X-12,3
the end of the 1520s,152X,3
late 1800s,180X,3
West End,193X,3
Beginning in the 1760s,176X,3
The late 1800s,180X,3
the last decade of the 1800s,PREV_IMMEDIATE P10Y INTERSECT 180X,3
the beginning of the 1590s,159X,3
beginning in the 1620s,162X,3
the beginning of the 1970s before,197X,3
the early nineteen twenties,192X,3
Later 1970s,197X,3
years in the late 1990s,199X INTERSECT P1Y,3
about the 1650s,165X,3
march in the 1980s,198X-03,3
the early 1310s,131X,3
a year in the 1930s,193X INTERSECT P1Y,3
Late 1940s,194X,3
the end of the 1480s,148X,3
the late 1340s,134X,3
the latter half of the 2010s,201X,3
several years in the 1880s,188X INTERSECT PXY,3
the mid-1090s,109X,3
nineteen seventies,197X,3
"the 1920s, may",192X-05,3
fall in the early 1950s,195X-FA,3
The early 1850s,185X,3
the end of the 1390s,139X,3
the end of the 1530s,153X,3
The 1030s,103X,3
fall in the early 1980s,198X-FA,3
1300S,130X,3
decade of the 1930s,193X INTERSECT P10Y,3
the first years of the 1960s,196X INTERSECT PXY,3
late in the 1870s,187X,3
Early 1930s,193X,3
the mid-1340s,134X,3
about the mid-1920s,192X,3
a year in the early 1990s,199X INTERSECT P1Y,3
beginning of 1870s,187X,3
a few years in the early 1970s,197X INTERSECT PXY,3
2100S,210X,3
1700S,170X,3
about the late 1990s,199X,3
the late 1450s,145X,3
Beginning in the 1800s,180X,3
the second half of the 1630s,163X,3
beginning in 1960s,196X,3
the second half of the 1720s,172X,3
the Early 1970s,197X,3
Early in the 1800s,180X,3
the early 1110s,111X,3
the middle of the 1730s,173X,3
the late 1130s,113X,3
several years in the early 1950s,195X INTERSECT PXY,3
week in the 1930s,193X INTERSECT P1W,3
eight years in the 1990s,199X INTERSECT P8Y,3
years in the early 1940s,194X INTERSECT P1Y,3
Beginning in the mid-1870s,187X,3
end of the 1950s,195X,3
The 1280s,128X,3
the last years of the 1890s,PREV_IMMEDIATE P1Y INTERSECT 189X,3
the 2010s may,201X-05,3
Beginning in the 1640s,164X,3
seven years in the 1990s,199X INTERSECT P7Y,3
four years in the 1950s,195X INTERSECT P4Y,3
Late 2000s,200X,3
the last two years of the 1930s,"193X INTERSECT (UNKNOWN,REF,P2Y)",3
The 1590s,159X,3
decade of the 1920s,192X INTERSECT P10Y,3
the last 2000s,PREV_IMMEDIATE 200X,3
the late 1260s,126X,3
earlier 1980s,198X,3
the 1970s in the second,THIS PT1S INTERSECT 197X,3
"the 1980s, today",THIS P1D INTERSECT 198X,3
in the 1950s,195X,3
this 1980s,THIS 198X,3
mid-1660s,166X,3
Early 1940s,194X,3
