text,n
the second quarter of the 3rd century,1
the start of the 11th century,5
The first half of the 20th century,7
12th century BC late,1
the beginning of the 5th century AD,1
the fifth century A.D.,2
mid 17th century,9
beginning in the 3rd century BC,1
mid 5th century BC,1
the late 20th-century,6
Late in the 20th century,7
late 3rd century,7
11th century AD,4
the 1st century A.D.,3
the early 12th-century,5
the start of the 13th century,6
Twentieth-century,23
31st century BC,1
the first half of the 1st century AD,3
the last half of 16th century,1
the last half of the twentieth century,7
late 16th-century,13
The beginning of the 21st century,1
early 6th century,11
about early 20th century,1
the early 15th Century,2
the end of 15th century,5
about the twelfth century,1
and fifteenth century,5
about the middle of the twelfth century,1
the first half of 19th century,6
the early sixteenth-century,3
the 22nd century,20
the late 9th-century,7
the middle of the 6th century AD,1
14th Century,9
early in the 14th century,6
the 67th century,1
about the beginning of the 16th century,1
middle seventeenth century,2
end in the first half of the fifteenth century,1
The 21st century,24
the early fifth century BC,4
the middle 3rd century,1
the latter half of the second century,1
and 1st century BC,3
the second half of the 5th century,11
the end of the 7th century,25
the second half of the fourteenth century,2
the end of the 4th century before,1
The second half of the 20th century,7
the end of the 6th century BC,4
the second half of the 2nd century,6
eighth century A.D.,1
The middle 19th century,2
the early nineteenth-century,8
5th-century BC,7
late 19th Century,8
Seventeenth Century,6
first half of 20th century,1
the late 6th Century A.D.,1
the second quarter of the fifteenth century,2
nearly the fifth century,1
the last half of the 19th century,13
earlier 19th-century,5
early fifth century,7
the first half of the first century AD,1
early in the fourth century,4
and 1st century,3
18th Century,30
The eighth century,1
earlier 19th century,4
4th century A.D.,4
beginning in the 7th century,1
the beginning of the 15th Century,1
the eighth century BC,13
the start of the 10th century,1
mid 4th century,1
the 3rd Century B.C,1
the first half of the eighteenth century,10
4th Century,5
late 18th Century,2
"the 5th century, may",1
the dawn of the twentieth century,4
Eighteenth-Century,7
about the 14th century,4
the middle of the 2nd century AD,2
late 14th-century,10
the first quarter of the 7th century,2
the late 1st century AD,7
the middle of the 15th Century,1
The 17th Century,1
first half of the 9th century,1
the mid 15th century,15
Beginning in the sixth century,1
the first half of the seventeenth century,6
and 2nd century AD,7
about the 1st century,3
end of the 18th Century,1
17th Century,14
about the 2nd century,2
the 11th century A.D.,2
late fourth-century,2
20th Century Fox Television and Flower Films,1
mid 2nd century,1
later 7th century,4
the 24th century BC,7
24th-century,2
the second half of the seventh century,3
the middle of the first century,5
The 7th-century,9
Cyberinfrastructure Framework for 21st Century Science and Engineering,1
the middle of the fourteenth century,4
The late 13th-century,4
the beginning of the 8th century AD,1
Early in the 14th century,4
the middle of the 2nd century,17
the beginning of the 3rd century BC,6
Society and 21st Century Fox,1
late third century AD,1
the first half of the ninth century,4
The first half of the 19th century,6
the end of 21st century,1
and second century AD,3
the end of the 7th century BC,4
the late twelfth-century,1
end of the tenth century,2
The fifteenth-century,2
and eighth century AD,2
first half of the eighteenth century,2
Early 20th-century,10
1st-century AD,2
the second half of the 9th century,8
the beginning of the 4th century,9
the beginning of the twelfth century,3
The first half of the 4th century AD,1
late twentieth-century,8
The sixteenth-century,3
About the 16th century,1
21st Century Broadcasting,1
third quarter of the 1st century,1
the middle of the sixth century BC,1
the 27th century,3
the latter half of the 14th century,4
early sixteenth-century,4
the 22nd century BC,3
about the 5th century BC,2
the early 12th century A.D,1
AD Judaism,1
end of the 12th century,1
early in the 8th century,1
beginning of the 15th century,3
the fifth-century,10
The late 14th century,2
the 6th Century,6
the 19th century in April 1842,1
the middle of the twelfth century,4
the late 11th century BC,3
Fifth century,1
the early 18th-century,5
the second century A.D.,3
early 19th Century,7
The 5th-century,6
the seventh-century,13
earlier 12th-century,1
the start of the early 19th century,1
21st Century Film Corporation,3
the beginning of the 20th-century,2
the end of the eleventh century,5
the late 6th century AD,2
the early seventh-century,2
30th century,3
seventh century,17
late in the 4th century BC,1
18th Century `Graveyard School,1
second-century AD,1
the end 20th century,1
5th century AD,13
The twentieth-century,4
beginning in the 6th century BC,4
The first-century,2
the Late Fourteenth Century,1
end of the 16th century,5
the beginning of the 12th Century,1
the 16th century before,2
the end of the sixth century A.D.,1
about the middle of the 1st century,4
the late 11th Century,2
Later 19th century,1
the second half of the first century,3
late 14th century,16
eighth century BC,2
later 10th century,5
early in the fourteenth century,1
early in the 7th century,5
51st century,1
late 2nd century,9
the 8th Century AD,2
the dawn of the 21st century,7
The fifteenth century,2
earlier 17th-century,2
James Martin 21st Century School,2
The nineteenth-century,9
Beginning in the eighth century,1
9th century AD,3
beginning in the 2nd century,2
the first half of the 7th century,7
The second half of the 18th century,2
later 2nd century,3
the beginning of the 13th Century,3
the second half of the third century BC,1
the Thirteenth century,1
The seventeenth-century,5
The early 3rd-century,1
beginning of the 4th century,2
middle 17th century,1
Fifteenth-Century,2
the late fifteenth-century,3
The first century AD,2
end the 19th Century,1
the 2nd quarter of the 17th century,1
the first half of the 5th century,7
the seventh century B.C.,2
the 5th century fall,1
later sixteenth century,2
the early second century,6
the first half of the 18th Century,2
the 16th century A.D.,1
the 22nd Century,4
the end of the 1st-century BC,1
12th century BC,3
the middle of seventeenth century,1
early Twelfth Century,1
the middle of the third century,9
the early 14th-century,5
the beginning of 18th century BC,1
"early in the seventeenth century, may",1
the 19th century before,4
the end of the 4th century BC,10
The 6th-century,13
fifteenth- century,3
the late 6th Century,1
the middle of the eighth century,2
last half of the 6th century,1
the beginning of the 16th century BC,1
about the 3rd century AD,2
The 2nd century,3
late 8th century,5
and sixteenth century,3
the end of the 15th century AD,1
the 4th Century AD,2
The 5th century BC,2
the late tenth century,5
the Fifth Century,1
the 14th century AD,10
Early 19th Century,1
Association of Historians of Nineteenth-Century Art,1
the second half of 20th century AD,1
the late first century BC,2
early in the 2nd century AD,2
early in the 11th century,3
21st Century Library Program,1
the 25th-century BC,1
the early twentieth-century,9
the late twelfth century,14
the fourth quarter of the 19th century,1
15th century BC,4
Early in the 13th century,3
the mid 11th century,1
about the middle of the 18th century,2
earlier 8th century,1
early in the 21st century,10
first quarter of the 14th century,1
the dawn of 19th century,1
The early 16th century,1
the second half of the 4th century BC,3
the late sixth century BC,4
fourth-century BC,1
about the 18th century,4
the mid ninth century,4
the early third century,12
the late 13th-century,3
1st Century,4
about 15th century BC,1
the end of the second century BC,3
early sixth century AD,1
later 3rd century,7
the mid of 19th century,2
the second half of the sixteenth century,13
early in the 17th century,15
beginning in the thirteenth century,1
the Late 20th Century,1
beginning in the eighth century BC,1
the middle of the 6th century,13
Early in the 21st Century,2
the fourth-century BC,1
the start of the 15th century,7
The early thirteenth century,1
the middle of nineteenth century,1
Beginning in the 14th century,6
the end of the 1st century BC,7
20th Century Fox International,1
the latter half of the 13th century,4
the fourth quarter of the 4th century,1
Beginning in the 16th century,9
fall in the 15th century,1
Early twentieth-century,4
the 6th Century A.D.,1
29th-Century,1
early 7th century,13
the end of the 1st century AD,11
late 6th century,6
later fourth century,1
beginning in the 15th Century,1
middle of the 19th century,2
beginning in the 6th century,1
the 3rd century A.D.,4
the 3rd quarter of the 16th century,1
the late 3rd-century AD,1
beginning in the mid 19th century,1
about the 1st century BC,3
"the late 15th century, 1504",2
the late 9th century AD,2
the early 4th century BC,8
the early first century AD,5
late in the 10th century,1
the 30th Century,2
late 5th century,9
the early 8th century BC,2
the early sixth-century,1
"the end of the seventeenth century, nearly two hundred years later",1
the beginning of the sixth century BC,1
the beginning of the 7th century,16
the beginning of the first century BC,3
The first half of the sixteenth century,1
second half of 16th century,1
the middle of the fifth century,7
the second half of the thirteenth century,6
and 3rd century BC,2
the mid 8th century,6
the beginning of the 2nd century,4
The fourth century,4
the 7th Century,15
the 15th century AD,5
the first quarter of the eighth century,1
21st Century Learning,1
the last half of the ninth century,2
earlier 16th-century,1
the middle of the 3rd century BC,5
about the first half of the 1st century AD,1
early in the seventeenth century,3
mid 15th Century,1
The 5th century,5
early 2nd-century,1
The late 18th-century,2
earlier 17th century,1
the end of the first half of the 20th century,2
Eighth-century,1
the third quarter of the nineteenth century,3
early 9th-century,3
about the nineteenth century,3
eighteenth- century,2
the early 11th-century,5
late fifth century AD,2
Twentieth Century Fox Studios,1
the third quarter of the 12th century,2
the 1st-century BC,2
The fourth-century,4
early sixteenth century,4
and 9th century,7
the 30th century BC,2
the 29th century,9
The 8th century,10
later nineteenth-century,3
the second half of 19th century,3
late 19th-century summer,1
early 5th century,6
the beginning of the sixteenth century,8
early eighteenth-century,3
middle 20th century,2
Late 20th-century,4
the second half of 15th century,2
the second half of the 22nd century,1
the late 13th century before,1
the beginning of the 18th-century,2
early in the 16th century,16
Nebraska 21st Century Community Learning Centers Grant Program,1
the late seventh century BC,2
Norfolk Southern's 21st Century Steam Program,1
fifth century BC,6
15th-century BC,1
the beginning of the 5th century,12
The start of the 20th century,2
1st century B.C.,3
the late fourth century B.C.,1
the late 11th century AD,1
the middle of the tenth century,2
the late Nineteenth century,1
27th-century,1
the second half of the eleventh century,4
late seventeenth century,3
the second quarter of the 17th century,2
The early 21st-century,1
mid sixteenth century,2
late seventh-century,1
the late 12th century AD,1
the 7th century A.D,1
the 6th-century BC,5
21st Century Programme,1
beginning in the 3rd century,2
late 2nd -century,1
6th century B.C.,1
the early ninth century,6
the Sixteenth-Century,1
the beginning of the 10th century BC,1
the 2nd Century,4
Beginning in the 20th century,1
the mid third century AD,2
March 6 in the 4th century,1
13th century AD,8
about eighteenth century,1
the early 16th century AD,1
the early Twentieth Century,5
the end of 3rd century,2
beginning in the 8th century BC,3
the mid thirteenth century,2
the beginning of the 4th century BC,2
the sixth-century AD,1
beginning in the 14th century,3
the second quarter of the 20th century,6
earlier 18th century,3
the 10th century before,1
the mid 19th-century,2
10th century BC,5
about the early 12th century,1
Later 19th-century,2
The fourteenth-century,4
Eighteenth Century Studies,1
about the 4th century BC,1
early eighth century,3
the ninth century BC,4
the 24th-century,1
the beginning of the first century,3
the middle of the eighth century BC,1
the early eleventh-century,3
beginning in the 18th century,4
beginning in the 20th century,5
The third century AD,1
the early 31st century,2
about the 6th century,4
the third century B.C.,8
"the late 15th century, may",1
the end of 16th century,5
the latter half of the 2nd century,3
the mid 7th century,2
and 21st Century,2
third century BC,4
late 2nd-century,2
16th,1
the first quarter of the 10th century,1
Beginning in the 19th Century,1
the latter half of the 11th century,3
the first half of the second century,3
7th,2
the first quarter of the ninth century,1
about the 12th century,9
late in the 19th Century,1
beginning in the 8th century,2
winter of the 20th century,1
late sixteenth-century,1
Early 17th century,3
the middle of the fifth century BC,1
the middle of the 5th century,9
the fourteenth century BC,1
the latter half of the fourth century,1
the 20th century before,3
and 2nd century,6
early in the 3rd century AD,1
the first quarter of the fourteenth century,1
The sixth-century,2
"the 12th century, beginning in 1173",1
the Ninth Century,2
the start of the 20th Century,1
The 4th century,9
the 1st-century AD,3
early 14th Century,1
the start of the 6th century,1
the 7th-century BC,3
the late 15th-century,4
the middle of 18th century,1
the middle of the 5th century BC,2
the 35th century,1
the First century,1
early twelfth century,2
the second half of the 18th-century,1
21st Century Group and Green Leaf Ridge Company,1
early in the 3rd century BC,2
first century B.C.,1
the first half of the second century BC,1
early first century AD,1
Tenth century,2
the early twelfth century BC,1
13th,1
The sixteenth century,6
the start of the Twentieth Century,1
early 20th-Century,1
21st Century Media,1
The early 5th-century,1
Anthology of Twentieth Century Southern Poetry,1
the first half of the 7th century BC,1
early in 15th century,1
the end of 10th century,3
about the eighth century AD,1
the first quarter of the nineteenth century,5
the 20th century beginning,1
about the 41st century,1
the Second Century,2
the second half of the 13th Century BC,1
the first half of the 8th century,5
late 4th-century,3
11th Century,6
third century A.D.,3
the late seventh-century,1
4th-century AD,2
the second half of the 6th century,11
the first half of the 2nd century AD,2
8th century AD,6
the late 10th-century,2
and tenth century,2
the 19th century BC,7
the start of the 1st century AD,1
"the beginning of the 20th century, Mar",1
about the middle of the 10th century,1
the early fifth century AD,1
about the mid 21st century,1
the second half of the seventeenth century,4
late sixteenth century,2
the first half of the 10th century,7
the 1st century B.C.,5
the late seventeenth Century,1
end of 15th century,1
and 6th century BC,2
The end of the 18th century,3
about the 2nd century AD,1
the first half of the 2nd century,8
the late 3rd century BC,3
Early 20th century,12
9th century BC,10
Early in the eighteenth century,2
the 12th century BC,10
"about the middle of the 19th century, 1848",1
the third quarter of the twelfth century,1
the second half of the second century,4
the middle 19th Century,1
the first half of the 1st century,4
21st,1
later third century,2
the end of 4th century BC,1
the mid 10th century,7
the middle of the 24th century,1
Twentieth Century Fox Home Entertainment,1
early tenth century,9
the last half of the 20th Century,2
the 17th-Century,3
late 6th century BC,2
ICOMOS International Scientific Committee on Twentieth Century Heritage,1
the mid 5th century BC,1
the first quarter of 18th century,1
the Mon in the 6th century,1
the 51st century,3
mid 13th century,1
early 2nd century AD,2
first half of the 20th century,7
the end of the first half of the 18th century,2
end of the nineteenth century,2
4th-century BC,6
Twentieth Century Society,9
the early 5th Century BC,1
the end of the fourteenth century,9
the end of the 2nd century AD,4
later eighteenth century,6
about the middle of the 19th century,3
the second quarter of the eighteenth century,4
the early Eighteenth century,1
the beginning of the fifth century,3
The Eighteenth-century,1
Twentieth Century Harmony,1
early second century BC,2
the middle of the 6th Century AD,1
The 11th-century,14
the mid 8th-century,1
the end of the sixth century AD,1
the 28th century,2
the beginning of the sixth century,10
and second century A.D.,1
the late 14th-century,3
Thirteenth-Century,1
the middle 10th-century,1
early 8th-century,2
The latter half of the twentieth century,1
The end of the twentieth century,2
"21st Century Science, Science for Public Understanding",1
late in the eighteenth century,1
The Mid 19th century,1
Beginning in the 13th century,1
the 51st Century,1
"the 16th century, beginning in 1528",1
the last half of the 15th century,2
21st Century Lions Cinema,1
the second quarter of the 15th century,3
the 16th century BC,11
the middle 19th century,6
the late first century AD,3
about the beginning of the eleventh century AD,1
late in the 18th Century,1
the 4th century B.C.,2
Beginning in the eighteenth century,1
the 19th century before 1871,1
the end of the fifth century BC,5
Early in the 21st century,4
end of the 4th century AD,1
22nd century,3
early 13th-century,8
The beginning of the 20th century,2
about sixth century BC,1
the 27th century BC,3
early 1st century BC,2
8th Century BC,1
21st Century Books,1
ninth century AD,1
early 5th-century,6
"eighteenth century, 1680",1
the nineteenth century AD,2
The beginning of the 11th century BC,1
the end of the 18th-century,2
the beginning of the eighth century,2
the fifth-century AD,1
Eleventh-century,1
the end of 9th century,2
the end of 6th century BC,1
Early 16th century,1
the sixth century B.C.,2
the middle 20th century,5
Beginning in the 3rd century AD,1
the middle of the 14th Century,2
Twentieth Century Fox Film Corporation,3
the beginning of the 1st century A.D.,1
the 3rd Century,6
The late 4th century,2
the beginning of the fourth century A.D.,1
early 6th-century,3
The early 2nd-century,1
11 September in first century,1
The Thirteenth-Century,1
20th Century Reformation Movement of McIntire,1
the first half of the 6th century,7
the last half of the 12th century,1
late thirteenth-century,3
and 7th century,7
eighth-century BC,1
mid twelfth century,1
Beginning in the 4th century,1
the 7th Century AD,1
early in the third century,1
seventeenth- century,1
the early fourteenth century,9
the second half of the fifteenth century,6
the second half of 18th century,2
beginning in the 10th century,3
early thirteenth century,3
the end of the seventh century BC,3
Early 19th-century,3
The 18th-Century,1
the early 25th century BC,2
"the late 18th century, may",1
the first quarter of 19th century,1
the late fourth century AD,7
the 10th Century AD,1
the second half of the 3rd century BC,3
the beginning of 14th century,2
the middle of the seventh century,5
about the 11th century,3
Sixteenth-Century,3
Twentieth Century Fox Records,1
early in the 7th century BC,1
21st century BC,1
Twentieth- Century,1
The late twentieth century,1
beginning of the 7th century,1
the first-century BC,4
Twelfth-century,3
1st century A.D.,1
early in the sixth century,2
the early 12th century BC,4
end of the 14th century,3
The early 16th-century,1
the beginning of the 17th Century,1
early in the 20th Century,3
21st Century Robot,1
the mid twentieth-century,1
sixteenth- century,1
early 12th-century,8
end of the 20th century,1
end of the 13th century,2
the end of the 11th-century,1
about the second-century,1
the 20th century in 2000,1
eighteenth Century,2
later 11th-century,1
the second half of the fourth century,2
late 3rd-century,1
late 11th-century,3
Beginning in the sixteenth century,2
Early 13th century,1
The second-century,1
the second half of the 17th century before,1
beginning of the 21st century,3
earlier 15th-century,1
the mid 4th century AD,1
about the 16th century,5
about the 15th century,2
The Seventeenth Century,2
the second half of the fifth century,1
the late 8th-century BC,1
Beginning in the 9th century,2
the First Century A.D.,1
early ninth century,1
Later 18th-century,1
late in the first century,2
about the middle of the 16th century,3
the second century B.C.,3
and 4th century,8
8th-century BC,4
the middle of the eleventh century,3
the mid 4th century,3
the second half of the 2nd century AD,3
the late 9th century BC,2
23rd century,2
the start of the eighteenth century,1
later 16th-century,1
the latter half of the sixth century AD,1
the mid of the 20th century,2
early second century,3
about 21st-century,2
the 3rd Century AD,1
earlier 20th century,3
start of the 19th century,1
the first half of the 3rd century,5
early 21st Century,3
later 14th century,6
the end of the fifth-century,1
and Nineteenth Century,1
the 7th Century A.D.,1
"the 20th century, may",1
the early sixth century,9
beginning in the fourth century BC,1
Twentieth Century Fox Corp.,1
the early 8th century AD,3
the end 19th century,1
about 8th-century,1
the mid sixteenth century,1
about 19th-century,2
the 16th century summer,1
the early 10th-century,3
late first century,4
The early 19th-century,3
about 16th-century,2
24th century,3
The 15th Century,1
the last half of the 7th century,1
the first half of the 4th century BC,2
the beginning of 15th century,2
the early fourth century BC,5
the 3rd Century B.C.,1
the eighteenth century AD,1
the seventeenth century AD,2
the early 17th century before,2
about the 13th century,9
beginning in the sixteenth century,2
the early 7th century BC,4
early fifteenth century,2
the 25th century,7
late in the twentieth century,3
the early 20th-Century,1
the early 20th century later,1
the end of the second century,5
about the 9th century,4
century,5
the sixth-century BC,2
Thirteenth Century,1
the first quarter of the 6th century BC,1
the middle of the second century BC,3
Twentieth Century Fox Selections,1
the second half of the first century BC,1
beginning in the 19th-century,1
early 17th Century,1
the early seventeenth-century,3
mid 18th-century,1
the first quarter of the twentieth century,3
early seventh century,6
early thirteenth century BC,1
the end of the third century BC,2
Twentieth Century Literature,1
and sixth century,2
the early 7th-century,2
the early 10th Century,1
the middle of the 16th Century,1
the second quarter of the 6th century BC,1
The ninth century,4
About the end of the 6th century,1
The 10th-century,10
the early Twentieth century,1
2nd-century AD,4
early 1st century AD,2
Beginning in the 15th century,2
the 23rd Century,1
the late nineteenth-century,5
15th century A.D.,2
early 3rd century B.C.,1
later 6th century,1
the first quarter of the second century,1
second quarter of the 16th century,1
and fifth century,1
the first half of 4th century,1
and 18th Century,3
the late 11th-century,4
early in the 1st century,1
the 21st century AD,2
end of the 11th century,1
the beginning of the 18th century BC,1
National Museum of the 21st Century Arts,1
Early in the 22nd century,1
the early 13th-century,8
the first half of 17th century,2
Late in the 18th century,2
late ninth century,3
second century B.C.,1
late 27th century BC,1
and 12th century AD,2
beginning in the middle of the 19th century,1
early in the 5th century,1
the middle of the Twentieth century,1
and 9th century BC,1
the middle of the 1st century BC,2
2nd Century,2
Beginning in the second half of the 4th century,1
the end of the,1
the 2nd Century BC,2
the start of the 19th Century,1
mid 17th-century,1
the early 20th century before,1
about late 19th-century,1
the late 7th century AD,2
about the middle of the 17th century,2
Early in the 16th century,1
Thirteenth-century,1
early 4th century B.C.,1
the mid 4th century BC,1
the first half of the fifth century BC,2
The 1st-century,5
mid 24th century BC,1
about 16th century,1
Sixteenth Century,2
about the middle of the ninth century,2
end of the 17th century,4
the second half of the 18th Century,3
late eighteenth-century,8
the early third century BC,1
the early 2nd-century,1
first century AD,4
the early third-century BC,1
The tenth century,1
The seventh-century,3
the twentieth Century,4
early eighth-century,1
about the end of the 17th century,1
earlier 9th-century,1
the end of the 4th century AD,1
20th Century Pictures,1
the nineteenth Century,3
The late 20th Century,1
the first half of the third century,2
the beginning of 13th century,1
the 19th century before 1875,1
Beginning in the second half of the twentieth century,1
the 7th century A.D.,4
the start of 20th century,2
9th Century,2
the early 6th century BC,5
the third quarter of the 17th century,1
the dawn of the 16th century,3
the first half of the third century AD,2
the first quarter of the 4th century,1
the Late Twentieth-Century,1
later the 19th century,1
The late 16th-century,1
2nd century B.C,1
the second half of the 1st century BC,2
about the second century B.C.,1
9th Century AD,4
the mid 18th-century,3
The dawn of the 20th century,1
the beginning of the early seventeenth century,1
the late the nineteenth century,1
The third-century BC,1
The Sixteenth century,1
about the 3rd century BC,4
the late sixteenth-century,2
Early twentieth century,1
the late third century AD,3
21st Century Schizoid Band,1
the early 5th century AD,3
early Twentieth-century,1
seventh century BC,1
23rd-century,1
about the 19th-century,1
and fourth century BC,1
the fifteenth century BC,2
about the fifth century A.D.,1
the middle of the fourth century BC,1
the beginning of the Twentieth century,2
Sixteenth century,4
the first century A.D.,5
"the middle of the 19th century, summer",1
the second half of the 20th-century,2
the Fourth Century B.C.,1
late in the 5th century,2
the late tenth-century,1
about the 17th century,2
the fourth-century B.C.,1
the dawn of the fourteenth century,1
the middle seventeenth century,5
late 7th-century,5
about the late 19th-century,1
a couple of centuries from the 4th century BC,1
late in the 3rd century BC,1
the mid sixth century,2
Sun Simiao,1
21st Century Dance Club,1
early sixth-century,1
24th century BC,2
21st Century Fox's Fox,1
the early the 16th century,1
the early mid nineteenth century,1
the 4th century before,1
the middle of the 21st century,4
The twelfth century,2
Twentieth Century Motor Company,2
early twelfth-century,2
the early 15th century falls,1
earlier nineteenth century,1
the 5th Century A.D.,1
later eleventh-century,1
100th century,2
the early 14th century BC,3
the late Twentieth Century,2
early in the 21st Century,1
and 4th century AD,2
the second quarter of the 5th century BC,1
the 12th Century A.D.,1
the end of the nineteenth Century,1
centuries from the mid 13th century,1
the middle of twentieth century,2
the first half of the eleventh century,1
about the late 9th-century,1
later 5th century,4
The second-century AD,3
18th century BC,1
the second half of the sixth century,2
end of 5th century,1
the first quarter of the 1st century,2
about 10th century,1
start of the 15th century,1
late eleventh-century,1
about 18th century,1
and third century BC,1
"the end of the 16th century,",1
first half of the 20th Century,1
the 100th century,1
late fourteenth century,1
about 6th century,1
later 15th century,13
the second half of the 1st century AD,3
"July 11, Twentieth Century",1
the mid 24th century BC,1
about the 91st century,1
20th Century Society,2
about the beginning of the 13th century,1
about the fourth century BC,1
the second half of the 19th-century,1
The eighteenth-century,4
the late eleventh-century,1
beginning in the tenth century,1
beginning of the 12th century,1
beginning in the 1st century,1
The second half of the eighteenth century,2
late in the seventeenth century,1
The third century,2
the latter half of the sixteenth century,3
late 3rd century AD,2
The late 7th century,1
beginning in the second half of the 18th century,3
about the beginning of the 6th century BC,1
the first quarter of the 14th century,2
Late in the 17th century,2
beginning in the mid 17th century,1
the beginning of 17th century,2
beginning in the mid nineteenth century,1
the first half of the sixth century BC,2
second half of the 20th century,3
the Fifteenth Century,2
The eleventh century,1
the late 13th Century,1
mid 6th century,2
early 5th century AD,2
Twentieth Century Commission on Education,1
the Sixth Century,1
21st Century Entertainment Ltd.,1
20th century BC,2
Center for 21st Century Security and Intelligence,1
late in the 20th century,11
early 2nd century BC,1
late in the 1st century AD,1
the first half of the 4th century,2
late 10th century,1
early 12th century A.D.,1
the third century before,2
later 19th Century,1
early fourth-century,1
the early 3rd century BC,4
the latter half of the 15th century BC,1
"the 16th century, may",1
beginning in the 9th century,2
about the 6th century BC,3
the middle of the nineteenth-century,2
later 17th-century,2
