text,n
the second half of the eighteenth-century,2
the end of nineteenth century,2
the early fourteenth-century,1
second century BC,2
the 27th-century BC,1
Fourth century,1
"the end of the 8th century, may",1
early fifth century AD,2
first half of the 12th century,1
the last half of the fifth century,1
early seventh century BC,1
the 20th century in about 1998,1
Norfolk Southern 21st Century Steam,1
The late 15th century,1
beginning in the second half of the 19th century,2
Early in the twelfth century,1
the beginning of the 2nd century B.C.,1
the late 3rd century B.C.,1
the mid 1st century BC,1
the 8th century B.C.,2
36th century BC,1
first half of the 19th century,1
the end of 14th century,3
20th Century Fox TV,3
the middle of the 12th Century,1
The 1st century,5
the 16th-century BC,1
late fifteenth century,2
the late 13th century BC,1
the Eighteenth-Century,1
"the 19th century, 5 November",1
7th Century,1
6th-century BC,5
12th Century Muri Abbey,1
beginning in the 4th century,3
the first quarter of the 9th century,3
15th-century Late,1
the eleventh century AD,2
Twentieth Century Fox Television,1
Century Museum of Contemporary Art,1
the third-century BC,2
the 5th century AD before,1
BT 21st Century Network,1
12th-Century,1
The late 4th-century,1
the beginning of 11th century,1
the 3rd century B.C.,2
the early Seventeenth Century,1
the second half of the 1st Century,1
the end of 14th-century,1
Beginning in the 18th century,3
Thirteenth century,1
the end of the 16th Century,2
the early 9th century BC,2
2nd century B.C.,1
The mid 20th century,2
Beginning in the second half of the 19th century,1
American Society for EIghteenth-Century Studies,1
the late 7th century BC,7
the mid 7th Century,1
the late 12th-century,2
in the 17th century,1
the beginning of 20th Century,1
the first quarter of the 17th century,4
about the end of the 14th century,1
late ninth-century,1
Twentieth Century Church,1
about the 6th century AD,1
Fifteenth century,1
the 8th-century BC,1
about the 30th century BC,1
beginning in the 19th Century,1
early seventh-century,2
the late,1
second quarter of the 19th century,1
Beginning in the 5th century,2
the beginning of the Nineteenth Century,1
The Fifth Century,1
the second half of the twelfth century,6
the latter half of the seventeenth century,2
the beginning of the 7th Century,1
the beginning of 2nd century AD,1
about the end of the seventeenth century,1
The late eighteenth-century,1
Fourteenth Century,1
late seventeenth-century,5
middle twentieth century,1
and 17th,1
the late 12th century BC,1
the 1st Century BC,2
early 6th century AD,1
about the mid 8th century AD,1
and 13th century AD,1
"the 17th century, may",1
fifth-century BC,1
the beginning of the early 20th century,1
's 20th Century,1
21st Century Productions,1
the middle 11th century,1
the sixth,1
Century CE Buddhapalita,1
the end of the first century BC,2
the late fifth-century BC,1
the third quarter of the 2nd century,1
the second half of the 5th century AD,4
the last half of the 11th century,1
the first half of 20th Century,1
end of the sixteenth century,1
About the beginning of the 16th century,1
"March, 20th Century",1
about the middle of the 20th century,2
the 21st century BC,4
the second half of the first century AD,2
The late 2nd century BC,1
early 7th century BC,3
the 9th century ad,1
and third century,2
about the nineteenth-century,2
The 1st-century AD,2
middle second-century,1
the 1st century BC before,1
"the early 21st century, Christmas",1
the Dawn of the Twentieth Century,1
3rd century B.C.,2
21st Century Center Of Excellence Program,1
the mid Sixteenth century,1
the early 18th century BC,3
Early in the ninth century,1
the 19th century in 1899,1
early fifth-century,2
17th century BC,2
Second-century,1
the second half of the eighth century,4
early 20th century summer,3
and second century BC,1
the second half of the 8th century BC,1
the first half of 15th century BC,1
the late eighteenth-century,4
the latter half of the 1st century,1
the late 3rd century AD,1
early in the 12th century,3
late in the 12th century,3
beginning of the fifteenth century,1
the end of the Sixteenth Century,1
the first-century AD,2
The end of the 14th century,1
Beginning in the 10th century,3
about 10th century AD,1
early in the eighth century,1
earlier tenth century,1
about 2nd-century,1
"21st Century Broadcasting, Inc.",1
the first half of the 3rd century BC,1
"21st Century Medicine, Inc.",1
the latter half of the 5th century,1
20th century beginning,1
the end of the fifth century A.D.,1
late 20th-Century,1
the late 8th-century,2
the end of the fifth century AD,2
about the middle of the 14th century,1
about the 17th-century,1
later 11th century,1
first half of the 3rd century,2
"the fifteenth century,",1
the 2nd-century AD,4
about the middle of the 2nd century BC,1
the second half of the 6th century BC,1
the middle of 20th century,2
Eighth-Century,1
the middle of the fifth-century,1
the late fifth century AD,1
Late 20th-Century,1
Early 18th-century,2
the beginning 21st century,1
the 8th century BC before,1
Early in the fourth century,1
The early 13th century,1
about the middle of the 9th century,1
the mid 21st-century,1
the 19th century A.D.,1
the 1st century A.D,1
the beginning of 21st century,2
the end of eighteenth century,3
the early 7th century AD,2
late 4th century BC,2
the second half of the 19th century BC,2
The last half of the 19th century,1
American Society for Eighteenth Century Studies,2
about the middle of the fifth century,1
the first half of the twelfth century,3
the 2nd century A.D.,4
the early 19th century in 1834,1
Tenth Century,1
The early 14th century,1
1st-century Judaism,1
beginning of the 3rd century BC,1
The late 19th-century,1
The second half of the nineteenth century,1
the 4th-century AD fall,1
the mid 16th Century,2
the end of the 6th-century,1
later 9th-century,1
First century BC,1
the middle third century,1
beginning of the 17th century,4
the second half of the 5th century BC,1
21st Century Fox and News Corp,1
Seventeenth-Century,2
the mid 1st century,2
The early 6th-century,1
MAXXI - National Museum of the 21st Century Arts,1
2nd Century AD,1
Jan Długosz,1
The 7th Century,1
Second half of the 9th century,1
the start of the Third Century,1
the mid Eighteenth century,1
"the beginning of the 20th century, may",1
The beginning of the 16th century,2
first half of the 5th century,3
beginning of the fourteenth century,1
The 7th century,5
early third-century,3
the late ninetieth century,1
late 11th century BC,1
Early 1st Century,1
mid twentieth-century,1
the end of the 14th century BC,1
first-century A.D.,1
the first quarter of the 20th century beginning,1
and fourteenth century,1
the middle of the Twentieth Century,1
Sixth Century,1
the late 23rd century,1
The beginning of the 8th century,1
the mid fourth century,1
the Sun in the 3rd century BC,1
mid 11th century,1
the mid 2nd century AD,1
The early 15th-century,1
the middle 20th Century,1
the latter half of the thirteenth century,1
The early third century,1
Hugh May,1
the beginning of the 6th century B.C.,1
early in 19th century,1
later 20th Century,2
3rd Century BC,1
late 20th Century,3
latter half of the twentieth century,1
second half of the 15th century,1
the 18th century AD,3
"the second century, about two thousand",1
the first quarter of the 2nd century,1
the second quarter of the 7th century,1
about the 19th century,1
about mid 13th century,1
Late nineteenth-century,1
the end of the 17th Century,4
Late 20th century,3
The start of the 21st century,4
late fifth-century,1
late in the 11th century,1
the second half of the third century,2
start in the twentieth century,1
middle of the twentieth century,1
the middle 14th century,1
The late 7th-century,1
Twentieth Century House,1
mid 8th century,3
The Second Century,1
the 10th century A.D.,2
Imagine Entertainment and Twentieth Century Fox,1
the twelfth century BC,2
the middle nineteenth century,2
beginning of the 18th century,3
The late 17th-century,2
the second century AD before,1
May in the 17th century,1
Later 20th-century,1
2nd century A.D,1
The first half of the 1st century BC,1
The 7th century BC,1
the first half of the 5th century BC,2
early 11th Century,1
the middle of the ninth century,5
Twentieth Century Fox Home Video,1
second half of the 11th century,1
mid eighteenth century,1
Institute for 21st Century Energy,1
the Fifteenth century,1
the second half of the 2nd-century,1
about the thirteenth-century,1
about the Thirteenth century,1
The 12th century BC,1
about the end of the eighteenth century,1
start of the 20th Century,1
late 1st-century,1
Early 21st-century,2
26th century,1
first half of the 13th century,1
the last half of the eighteenth century,1
late in the 15th century,3
the late Second Century,1
late 2nd century BC,2
the Seventeenth century,4
19th century before,1
the 42nd century,1
21st Century Communications,1
the second half of the 3rd century AD,2
the late 15th century BC,2
The beginning of the 17th century,1
the middle of the 3rd century AD,1
later the 17th century,1
the late 19th century before,1
Late 13th century,1
the early 8th Century,1
first half of 18th century,1
the start of the 5th century,1
Beginning in the second half of the nineteenth century,1
the early 19th century 1868,1
seventeenth century BC,1
the late 21st Century,1
the middle of the 10th Century,1
and 8th century AD,3
the beginning of the 2nd Century,1
the second quarter of the eighth century,1
start in the 19th century,1
the 2nd-century BC,1
the 29th century BC,2
the early,2
The middle of the 20th century,2
The last half of the 20th century,1
the early twelfth-century,1
the latter half of the 8th century,1
the first half of the fifth century AD,1
First half of 12th century,1
the early eighth-century,1
early sixth century,1
middle 8th century,1
and 9th Century,1
about the middle of the tenth century,1
The 2nd-Century BC,1
the Middle 6th Century,1
beginning in the first half of the 10th century,1
33rd century BC,1
the mid fifth century,1
early 3rd-century,1
The late 17th century,1
Beginning in the 12th century,2
and 10th century AD,1
about the sixteenth century,1
the first quarter of the 8th century,1
the fall of 19th century,1
about the 1st century AD,1
Beginning in the eleventh century,1
About the middle of the 2nd century,1
the 21st century in 2010,1
The late fifth-century,1
the latter half of the fifteenth century,1
the Mid 7th century,1
early in the early 20th century,1
The 23rd Century,1
about the tenth century,1
the middle of the 9th Century,2
about the 1st Century,1
the early 4th-century,1
the beginning of the eleventh century,2
The second half of the 14th century,1
the 23rd century BC,4
the first half of twentieth century,1
the latter half of the 4th century AD,1
about the 3rd century,4
the second half of the sixth century BC,1
and 3rd century AD,3
the first quarter of the 16th century,5
the latter half of the 19th Century,2
beginning fourth century,1
First Century BC,1
the 15th century A.D.,1
the first quarter of the seventeenth century,2
30th century BC,1
and 11th century AD,1
the end of the first half of the 1st century,1
5th-century B.C.,1
later fifth century,2
late in the 20th Century,1
early in the sixteenth century,1
"the late 19th century, May",1
first-century BC,3
"the 18th century AD, about 2300",1
Beginning in the seventeenth century,1
19th-century weekend,1
21st Century Business Herald,1
early in the eleventh century,1
the end of the 8th century A.D.,1
and 4th century BC,1
the second quarter of the 4th century BC,1
Fifth-century,1
about the beginning of the nineteenth century,1
the first half of the first century,1
the sixteenth century A.D.,1
end of the twentieth century,2
3rd Century B.C.,1
22nd-century,2
the Seventh century,1
The early 13th-century,1
mid 1st century,1
9th,2
the late tenth century AD,2
Beginning in the 6th century BC,1
the beginning 20th century,1
the first half of the seventeenth century BC,1
Late 1st century BC,1
early 12th Century,1
the latter half of the 6th century BC,1
the middle of eighteenth century,1
the middle of the 6th century BC,1
Stars of 21st Century Gala,1
The early 21st century,5
the first half of the 19th Century,1
the 9th century A.D.,1
later sixth-century,1
the 4th century A.D,1
the eighth century A.D.,1
and Eighteenth Century,1
26th-century,2
the mid 5th-century,2
the 10th century B.C.,1
Early in the thirteenth century,1
The fifth-century BC,1
the early the eighteenth century,1
second half of the 8th century,1
sixth-century BC,1
first half of the 1st century,1
later 8th century,5
Twentieth Century Club,1
late 21st century,2
the 19th-Century,2
Early 14th century,1
the mid 17th Century,1
the beginning 18th century,1
20th Century Fox Corp.,1
Fifth Century,1
The first half of the 14th century,1
the beginning of the twentieth century before,1
late tenth century,2
Nineteenth Century Galicia,1
the end of the eighth century B.C.,1
May's 17th-century,1
the mid nineteenth-century,1
First-century,4
late 1st century BC,1
earlier 7th century,1
the end of the 18th century before,1
end in the latter half of the 16th century,1
the second quarter of the twentieth century,2
the start of the 31st century,1
Beginning in the 11th century,3
about the 5th century AD,1
7th Century AD,1
mid 20th Century,2
the Fourth century,1
beginning in the seventeenth century,2
"the early 17th century, beginning in 1620",1
the second half of the 2nd century BC,1
the latter half of the sixth century,2
The 6th century BC,3
later first-century,1
mid nineteenth century,3
the end of 12th century,1
end of the third century,1
the 20th century A.D.,1
the beginning of the 17th-Century,1
end of the 2nd century,1
11th -Century Romance Church,1
about the beginning of the 5th century BC,1
21st Century Community Learning Centers,1
9th-century BC,2
the middle of 19th century,2
beginning in the 11th century,1
about 13th century,1
Later 16th century,1
Century CE,1
the early seventh century BC,1
the 16th century in March,1
25th century BC,1
The 12th Century,1
end of 7th century,1
the early 16th century before,1
the 12th century before,1
the mid 18th century BC,1
21st Century Young Composers Project,1
The 19th Century,3
Beginning in the middle of the 20th century,1
Early 16th-century,2
late in the ninth century,1
the early eleventh century before,1
the end of the Second Century,1
the late second-century,1
The eighth-century,2
The late 16th century,3
about 2nd century AD,1
3rd Century A.D.,1
the dawn of the sixteenth century,1
early second-century,1
first half of 17th century,1
the fifteenth century AD,1
the latter half of the 18th Century,1
Jan Kootwyk,1
the early 24th century,1
21st Century Fox's Shine Group,2
the 3rd-century BC,2
"the Nineteenth Century, 1965",1
the middle the 14th century,1
the late early 20th century,1
beginning in the mid 15th century,1
the third quarter of 19th century,1
late 5th century BC,1
Late in the 2nd century,1
the end of the 16th-century,1
the End of The 17th Century,1
"the start of the 7th century, 1 January",1
the Ninth-Century,1
end of the 3rd century,2
The second-century BC,1
the early 12th century AD,3
middle of the 18th century,1
The latter half of the 20th century,1
the late sixteenth century before,1
late twelfth century,1
the beginning of the 6th Century,1
about the end of the 13th century,2
about 21st century,1
late in the 2nd century,1
the mid sixth-century BC,1
the first century A.D,1
the end of the Eighteenth Century,1
the middle of the first century AD,1
and fourth century,1
the middle 12th century,1
beginning in the eleventh century,1
Halloween of the 21st century,1
Early 15th Century,1
the 24th Century,1
about the middle of the fifteenth century,1
20th Century Gallery,1
Early in the seventeenth century,1
the late 24th century BC,1
The early 17th-century,1
mid 15th century,3
latter half of the 1st century BC,2
The latter half of the 19th century,3
about the early 5th century,1
The First Century,1
Fifteenth Century,2
TSG for 20th Century Fox,1
eleventh century AD,2
the 2nd-century B.C.,1
First Century,2
late third century,2
about the beginning of the sixth century,1
beginning in the second half of the 17th century,1
end of the 5th century,1
17th Century Earth,1
the 4th Century BC,1
the 11th century before,1
the end of the 20th-century,1
The 14th Century,2
End of the 12th century,1
The 2nd-century BC,1
the Twelfth Century,2
"the 14th century, may",1
early fourth century BC,1
the end of the Nineteenth century,1
later 13th-century,1
5th-century AD,1
"Twentieth Century Fox, Walt Disney Studios",1
fall in the 8th century BC,1
the late eighth-century,1
Friday in March in the early 19th century,1
the beginning of 4th century A.D.,1
beginning of 16th century,1
early fifteenth-century,1
19th century AD,1
first half of the 14th century,1
latter half of the seventh century,1
sixth century AD,1
the early 16th-century,1
The second half of the twentieth century,1
23rd Century Entertainment,1
the 20th century in 1971,1
late 9th-century,3
about the end of the fifth century,2
beginning in the fifteenth century,1
Early nineteenth century,1
the second quarter of the 5th century,1
Twentieth-Century Print Club,1
about the end of the 5th century,1
about the 8th century BC,1
early 1st century,1
about the 4th-century,1
later eleventh century,1
the middle of the 2nd Century,1
The beginning of the eighteenth century,1
the late 1st century BC,3
the end of 5th century,1
The 18th-century BC,1
the dawn of the 18th century,1
The mid 19th century,1
21st Century Schools Programme,2
about the beginning of the 18th century,1
late in the sixteenth century,1
the late 14th century BC,1
the mid 21st-century BC,1
about the end of the 19th century,1
and Twentieth Century,1
Beginning in the 7th century BC,1
late twelfth-century,1
beginning in the second half of the 16th century,1
The early nineteenth-century,1
The start of the 21st Century,1
the end of the Seventeenth Century,1
the latter half of the 7th century,1
Austrian Museum of the 21st Century,1
the beginning of the end of the 19th century,1
the third quarter of the 1st century AD,1
the beginning of the 21st Century,5
first half of the twentieth century,1
the first quarter of the fifteenth century,1
12th century AD.,1
third-century BC,1
Early in the 15th century,2
the first quarter of the tenth century,1
early,1
the Eleventh Century,2
Eleventh Century,2
later the 16th-century,1
the start of the 17th Century,1
the mid 18th century A.D.,1
the middle of 16th century,1
mid Seventeenth century,1
10th Century AD,2
the late 6th-century,1
the start of the 21st Century,1
Third-century,1
The latter half of the 20th-century,1
end of the 19th Century,1
first half of 12th century,1
the late 3rd-century,1
18th century AD,1
Early 21st century,1
UCONN 21st Century,1
20th Century Fox Animation,1
the end the 19th century,1
the third quarter of the 13th century,1
the mid 19th-Century,1
the first half of the 5th-century BC,1
early 13th Century,1
29th century,1
earlier 16th century,1
early in the 3rd century,1
Twentieth Century Fund,2
the 31st Century,1
the second quarter of the sixth century BC,1
the end of the second century AD,2
the 3rd century B.C,1
beginning of the 11th century,2
the early eighth century BC,1
beginning in the first half of the 11th century,1
the second quarter of the 18th century,1
First quarter of the 12th century,1
American Bridge 21st Century PAC,1
the early 20th century AD,1
about the mid 1st century BC,1
20th Century Reformation Movement,1
the late 3rd century A.D.,1
Sixteenth-century,2
early second century AD,1
middle of 17th century,1
The 2nd century AD,1
The 25th Century,1
last half of the twentieth century,1
"September 18,",1
20th Century Fox studios,1
fifth century AD,1
early first century,1
the beginning of the 6th century BC,3
James May,1
18th-Century,1
the beginning of the twentieth-century,1
37th century,1
"the early 19th century, Christmas",1
earlier 11th century,1
the sixteenth century AD,1
The twelfth- century,1
the 20th Century in 1999,1
mid 12th century,1
earlier 20th-century,1
Late in the twentieth century,1
the beginning of the Fifth century AD,1
16th century AD,1
the late 4th century A.D.,1
the mid twelfth century,1
the second half of the fourth century AD,1
The end of the 16th century,1
about the 2nd-century,1
the 33rd century,1
the start of the eleventh century,1
about the middle of the third century,1
the beginning of the 12th century BC,1
the middle of the 7th century AD,1
mid 3rd century,1
the beginning of 7th century,1
the late second century BC,1
the middle of the 1st Century,1
the mid of 18th century,1
beginning in the 2nd century BC,1
Borlaug 21st Century Leadership Program,1
the mid 7th-century,1
end of 6th century,1
early 20th-century summer,1
The beginning of the nineteenth century,1
the early second half of the nineteenth century,1
the third quarter of the 18th century,1
mid 4th century BC,1
the middle of the seventh century BC,2
the eleventh century BC,1
First Century AD,1
early seventeenth century,3
about the beginning of the 11th century,1
about the sixteenth-century,1
the latter half of the 20th Century,2
about the middle of the 4th century,1
20th Century Records for 20th Century Fox,1
beginning in the first half of the 16th century,1
late nineteenth-century Mon,1
early the ninth century AD,1
Shepherd University's Civil War & 19th Century America,1
the middle of the 4th century AD,1
the end of the fourth century AD,1
The late 13th century,1
the first half of the 19th-century,1
earlier 6th century,1
The end of the nineteenth century,1
the early 13th Century,1
The late eighteenth century,2
the Thirteenth Century B.C.,1
14th century before,1
De Morgan Centre for the Study of 19th Century Art and Society,1
the early 3rd-century AD,1
late 17th Century,1
beginning the 16th century,1
the 2nd century B.C,1
and 7th century BC,1
the last half of the 19th Century,1
the beginning of the 1st century AD,1
the early seventeenth Century,1
twentieth -century,1
later 1st century BC,1
the end of 3rd century BC,1
Twelfth Century,1
the 5th century A.D.,1
the beginning of the 26th century,1
The seventh century,1
mid 17th century BC,1
the first quarter of the 19th Century,1
The 18th Century,1
the second half of 1st century AD,1
the end of the second century B.C.,1
the early 22nd century BC,1
the second quarter of the sixteenth century,1
The 1st century BC,1
5th Century B.C.,1
The late twelfth-century,1
the middle of the 6th Century,1
the beginning of the 8th century BC,1
middle nineteenth century,1
the latter half of 20th century,1
the end of 19th-century,1
the beginning of the ninth century,3
the early 7th Century,1
about the middle of the seventeenth century,2
mid 16th century,1
early Twentieth Century,1
21st Century Ham and Petersham Cricket Club,1
about the 21st Century,1
the third quarter of the ninth century,1
the first quarter of the 4th century BC,1
The first-century AD,2
The 13th Century A.D.,1
the first quarter of the 5th century,1
the twentieth century's end,1
early in the Twentieth century,1
the late seventh century AD,1
the mid 2nd century BC,1
Twentieth-Century Fox,1
The fifth century AD,1
early in the 4th century,1
the 2nd Century AD,1
the end of 19th century before,1
late fifth century,1
the third quarter of the 16th century,1
late 7th century BC,2
about the fifth century,2
the first half of 12th century,1
the second half of 19th Century,1
the 23rd century B.C.,1
Early in the 4th century,1
20th Century Art Department,1
the 14th century spring,1
"the 19th century, August",1
and 5th century A.D.,1
the Thirteenth-Century,1
later fourth-century,1
the middle eighteenth century,1
the end of the Eighteenth-century,1
"the 19th century, beginning in 1821",1
mid 19th-century,3
march of the 19th century,1
Beginning in the fourteenth century,1
the early 14th Century,2
The second half of the 13th century,1
fourth century B.C.,1
the late 26th century BC,1
late 14th Century,1
early eleventh century,1
the second quarter of 20th century,1
the beginning of the early 19th century,1
the end of the 6th century AD,1
the first half of the tenth century,1
the Seventh Century,1
Second Century BC,1
"Twentieth Century, 1914",1
"the 5th century, Mar",1
Palm Springs,1
the 20th century AD,1
about the beginning of the 12th century,1
the Beginning of the Twentieth Century,1
20th Century Tredegar,1
1st quarter of the 12th century,1
6th Century AD,1
11th Century AD,1
the mid fourth century AD,1
BC Celts,1
the 4th century A.D.,1
the mid fifth-century,1
about the first half of the 9th century,1
the last half of the 14th century,1
end of the 9th century,1
Farm Foundation's Dialogue on Food and Agriculture for the 21st Century Steering Committee,1
the 4th-century AD,1
the sixth century A.D.,1
The latter half of the nineteenth century,1
mid seventeenth century,1
the late 14th Century,1
20th Century Fox Studios,1
about the beginning of the 2nd century,2
the 6th century before,1
American Society for Eighteenth-Century Studies,1
the end of 7th century,1
the late 14th century in 1379,1
Beginning in the 1st century AD,1
the late 25th century BC,1
early 24th century BC,1
and 31st century,1
later 4th-century,1
the middle 6th century,1
Third Century,1
Early Twentieth Century,1
15th century AD,1
mid 1st-century,1
the third quarter of the twentieth century,1
the middle of the 20th Century,1
earlier eleventh century,1
Early in the second half of the 19th century,1
sixth century BC,1
the seventieth century,1
Fourteenth-century,1
mid 5th-century,1
the 15th century before,1
the start of the 1st century,1
Second Century,1
Early in the nineteenth century,2
early in the 9th century,1
"the 6th century, may",1
12th-century AD,1
second half of the 19th century,1
the second Century,1
the dawn of twentieth century,1
the first quarter of the 7th century AD,1
end of nineteenth century,1
beginning in the 12th century,1
beginning in the 4th century BC,1
5th century A.D.,1
the middle the 19th century,1
the early Seventh-century,1
beginning in the latter half of the 20th century,1
Early in the 12th century BC,1
the end of the 1st century B.C.,1
late 8th-century,1
the third quarter of the 6th Century BC,1
Early in the fourteenth century,1
11th-century BC,1
the second-quarter of the 18th century,1
The fourth century AD,1
the latter half of the 12th century,2
the eighth century B.C.,1
the first quarter of 16th century,1
about the 16th century BC,1
early 8th century BC,1
about the end of the 2nd century BC,1
The 5th-century BC,1
The end of the 17th century,1
Beginning in the twelfth century,1
about the late 2nd century BC,1
the late sixth-century,1
"the mid 7th century,",1
13th-Century,1
the first half of 16th century,1
the first half of the 1st century BC,2
"the early twentieth century, summer",1
the first half of the 21st century,1
the last half of the 13th century,1
late in the fifteenth century,1
mid ninth-century,1
Early 20th Century,1
early first-century,1
the end of 20th Century,1
9th century B.C.,1
BC Sparta,1
the 15th-century AD,1
Century Catholic,1
Early 17th-century,1
18th-century BC,1
beginning in the mid 18th century,1
end of eighth century,1
about the end of the 18th century,1
beginning in the 5th Century,1
Early in the 20th Century,1
the second quarter of the sixth century,1
the late 5th century AD,1
the end of the 21st Century,1
the 59th century,1
The second half of the 6th century,1
the mid 25th century BC,1
the middle of the 8th century BC,1
Twentieth Century Trust,1
the end the 13th century,1
the end of eleventh century,1
late tenth-century,1
the second quarter of the 2nd century,1
the first quarter of the 21st century,1
8th-century AD,1
the early the 8th century,1
the end of thirteenth century A.D.,1
the end of the 13th century BC,1
the end 17th century,1
the early second half of the 20th century,1
the 18th Century AD,1
the last half of the eleventh century,1
the 9th century before,1
later 8th century AD,1
Mid 16th century,1
the middle 16th century,1
20th- century,1
spring in the mid 17th century,1
21st Century Manufacturing Task Force,1
the first half of 11th century,1
the third-century AD,1
early 3rd century AD,1
the beginning of 10th century,1
the end of the 30th century,1
the first half of 18th century,1
the mid of the 5th century BC,1
four centuries from the end of the 15th century,1
sixteenth century BC,1
the early Nineteenth century,1
the end of the 12th Century,1
later seventh century,1
8th century A.D.,1
fall in the late 14th century,1
the first century B.C,1
end in the 20th century,1
end of the 4th century,1
about the eleventh century,1
end in the 19th century,1
about the 5th-century,1
6th-century AD,1
"the early 20th century, March",1
sixth century B.C.,1
Late 14th century,1
start of the second century,1
first-century AD,1
13th century B.C.,1
about the early 20th-century,1
11th Century Church of Sant Tomàs,1
The 31st Century,1
31st Century,1
the 16th Century BC,1
the end of the 9th Century,1
the middle of the 19th-century,1
later 20th-century,1
second century A.D.,1
the mid of 20th century,1
beginning of 13th century,1
the second half of the 6th Century,1
Early in the 20th-century,1
"late 19th century, summer",1
the 12th-century AD,1
The 3rd century BC,1
Twentieth Century Fox Film Corp & Ors,1
early 11th century BC,1
the Third century,1
the twilight of the,1
evening in eighteenth-century,1
"the middle of the second century AD, five to ten",1
Overnight the,1
